ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Evans D.,3,189,6420,266,7,6,7,6,6,3,,,,,3,0,Completed,1.02,17
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Fritz T.,Monfils G.,50,33,964,1195,6,3,6,7,7,6,7,6,,,3,1,Completed,2.37,1.57
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Khachanov K.,Nishioka Y.,11,69,2835,758,6,3,6,3,6,3,,,,,3,0,Completed,1.22,4.33
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Fabbiano T.,Opelka R.,102,97,573,593,6,7,6,2,6,4,3,6,7,6,3,2,Completed,3.4,1.33
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista Agut R.,Millman J.,24,37,1605,1108,6,3,6,1,3,6,6,7,6,4,3,2,Completed,1.33,3.4
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Dimitrov G.,Cuevas P.,21,94,1790,616,6,3,6,7,6,3,7,5,,,3,1,Completed,1.12,6
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,De Minaur A.,Laaksonen H.,29,166,1353,319,6,4,6,2,6,7,4,6,6,3,3,2,Completed,1.04,13
6,Melbourne,Australian Open,16/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Ebden M.,2,48,7480,981,6,3,6,2,6,2,,,,,3,0,Completed,1.06,10
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,Karlovic I.,9,73,3750,739,6,3,7,6,5,7,5,7,7,6,3,2,Completed,1.16,5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Raonic M.,Wawrinka S.,17,59,1900,830,6,7,7,6,7,6,7,6,,,3,1,Completed,1.3,3.5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Sousa J.,Kohlschreiber P.,44,32,1017,1215,7,5,4,6,7,6,5,7,6,4,3,2,Completed,3,1.4
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Carreno Busta P.,Ivashka I.,23,84,1705,658,6,2,6,3,7,6,,,,,3,0,Completed,1.61,2.3
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Coric B.,Fucsovics M.,12,38,2435,1094,6,4,6,3,6,4,,,,,3,0,Completed,1.28,3.75
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Fognini F.,Mayer L.,13,53,2315,920,7,6,6,3,7,6,,,,,3,0,Completed,1.57,2.37
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Herbert P.H.,Chung H.,55,25,903,1585,6,2,1,6,6,2,6,4,,,3,1,Completed,2.3,1.61
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Krajinovic F.,Donskoy E.,93,96,620,599,6,4,7,6,7,6,,,,,3,0,Completed,1.4,3
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Goffin D.,Copil M.,22,60,1785,823,5,7,7,5,6,2,6,4,,,3,1,Completed,1.2,4.5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Bolt A.,Simon G.,155,30,343,1280,2,6,6,4,4,6,7,6,6,4,3,2,Completed,5.5,1.14
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Pouille L.,Marterer M.,31,71,1245,744,7,6,7,6,5,7,6,4,,,3,1,Completed,1.72,2.1
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Shapovalov D.,Daniel T.,27,82,1440,691,6,3,7,6,6,3,,,,,3,0,Completed,1.14,5.5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Popyrin A.,Thiem D.,149,8,360,4095,7,5,6,4,2,0,,,,,2,0,Retired,5.5,1.14
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Medvedev D.,Harrison R.,19,83,1865,660,6,3,6,3,6,3,,,,,3,0,Completed,1.16,5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Chardy J.,4,36,6385,1120,7,6,6,4,5,7,6,7,6,1,3,2,Completed,1.11,6.5
6,Melbourne,Australian Open,17/1/19,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Tsonga J.W.,1,177,9135,290,6,3,7,5,6,4,,,,,3,0,Completed,1.06,10
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Tsitsipas S.,Basilashvili N.,15,20,2095,1820,6,3,3,6,7,6,6,4,,,3,1,Completed,1.36,3.2
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Berdych T.,Schwartzman D.,57,16,865,1925,5,7,6,3,7,5,6,4,,,3,1,Completed,1.25,4
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Fritz T.,3,50,6420,964,6,2,7,5,6,2,,,,,3,0,Completed,1.06,10
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Tiafoe F.,Seppi A.,39,35,1080,1170,6,7,6,3,4,6,6,4,6,3,3,2,Completed,2,1.8
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Dimitrov G.,Fabbiano T.,21,102,1790,573,7,6,6,4,6,4,,,,,3,0,Completed,1.07,9
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Bautista Agut R.,Khachanov K.,24,11,1605,2835,6,4,7,5,6,4,,,,,3,0,Completed,2.62,1.5
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,De Minaur A.,2,29,7480,1353,6,1,6,2,6,4,,,,,3,0,Completed,1.1,7
